高管姓名,性别,年龄,股票代码,职位
王雪颖,女,41,300414,董事长,董事
张华立,男,54,300413,董事长,董事
方亨志,男,59,300412,董事长,董事
夏信德,男,54,300438,董事长,董事
王志清,男,53,300437,董事长,董事
李国平,男,50,300436,董事长,董事
章有春,男,54,300435,董事长,董事
蒯一希,男,60,300434,董事长,董事
章建伟,男,44,300467,董事长,董事
厉达,男,62,300466,董事长,董事
于伟,男,60,300465,董事长,董事
林明志,男,51,600007,董事长,董事
雷平,男,54,600006,董事长,董事
马国强,男,55,600005,董事长,董事
邱嘉臣,男,48,600004,董事长,董事
孙熠嵩,男,55,600003,董事长,董事
金雷,男,46,600020,董事长,董事
戴志浩,男,55,600019,董事长,执行董事
陈戌源,男,62,600018,董事长,董事
宋广菊,女,58,600048,董事长,董事
孙云,男,57,600039,董事长,董事
曲景文,男,54,600038,董事长,董事
郭章鹏,男,47,600037,董事长,董事
李建红,男,62,600036,董事长,非执行董事
王春城,男,56,600062,董事长,董事
叶柏寿,男,56,600061,董事长,董事
刘洪新,男,51,600060,董事长,董事
张新,男,56,600089,董事长,董事
唐世鼎,男,48,600088,董事长,董事
苏新刚,男,60,600087,董事长,董事
赵宁,男,37,600086,董事长,董事
高振坤,男,54,600085,董事长,董事
朱洪彬,男,54,600112,董事长,董事
赵殿清,男,56,600111,董事长,董事
王为钢,男,64,600110,董事长,董事
李国璋,男,52,600141,董事长,董事
段志平,男,54,600139,董事长,董事
康国明,男,48,600138,董事长,董事
翁荣弟,男,50,600137,董事长,董事
易仁涛,男,37,600136,董事长,董事
张夕勇,男,55,600166,董事长,董事
高小平,男,57,600165,董事长,董事
张骏,男,44,600163,董事长,董事
宋卫东,男,51,600191,董事长,董事
徐健,男,53,600190,董事长,董事
姜长龙,男,50,600189,董事长,董事
李希勇,男,55,600188,董事长,董事
尹峻,男,44,600187,董事长,董事
曹立明,男,46,600225,董事长,董事
李彦勇,男,47,600223,董事长,董事
李景亮,男,49,600222,董事长,董事
王继杨,男,39,600255,董事长,董事
郭敏,男,55,600252,董事长,董事
郭良,男,51,600251,董事长,董事
徐德健,男,55,600250,董事长,董事
杨昌学,男,53,600279,董事长,董事
吕勇明,男,63,600278,董事长,董事
尹成国,男,53,600277,董事长,董事
许锡忠,男,52,600293,董事长,董事
郑武生,男,52,600292,董事长,董事
郭予丰,男,59,600291,董事长,董事
陈孟列,男,34,600290,董事长,董事
曲飞,男,48,600289,董事长,董事
韩海滨,男,46,600319,董事长,董事
吴昊,男,42,600318,董事长,董事
李和忠,男,50,600317,董事长,董事
王强,男,44,600348,董事长,董事
范红卫,女,51,600346,董事长,董事
吕卫平,男,56,600345,董事长,董事
周利民,男,54,600343,董事长,董事
王文学,男,51,600340,董事长,董事
管大源,男,55,600371,董事长,董事
卞平芳,女,59,600370,董事长,董事
廖庆轩,男,57,600369,董事长,董事
吴同性,男,54,600403,董事长,董事
邱新,男,44,600401,董事
刘连红,女,52,600400,董事长,董事
孙启,男,54,600399,董事长,董事
周建平,男,58,600398,董事长,董事
丁农,男,57,600428,董事长,董事
常怀春,男,51,600426,董事长,董事
郑术建,男,52,600425,董事长,董事
郭俊梅,女,48,600459,董事长,董事
李东林,男,51,600458,董事长,董事
王文生,男,57,600456,董事长,董事
王萍,女,43,600455,董事长,董事
张波,男,54,600452,董事长,董事
楼定波,男,56,600490,董事长,董事
宋鑫,男,56,600489,董事长,董事
张杰,男,39,600488,代董事长,董事
戈亚芳,女,46,600510,董事长,董事
赵磊,男,55,600509,董事长,董事
包正明,男,55,600508,董事长,董事
谢飞鸣,男,49,600507,董事长,董事
陈义斌,男,45,600506,董事长,董事
杨安国,男,64,600531,董事长,董事
杨国平,男,62,600530,董事长,董事
柴文,男,69,600529,董事长,董事
赵国柱,男,54,600543,董事长,董事
马晓宏,男,52,600540,董事长,董事
曹志东,男,47,600539,董事长,董事
潘利斌,男,54,600538,董事长,董事
荀耀,男,32,600537,董事长,董事
吴明武,男,51,600567,董事长,董事
曹龙祥,男,61,600566,董事长,董事
向志鹏,男,43,600565,董事长,董事
杨宝生,男,59,600589,董事长,董事
